dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,school_name
19K660,74,370,369,363,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
19K683,38,383,400,374,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS"
20K445,456,402,471,399,NEW UTRECHT HIGH SCHOOL
20K485,238,425,474,424,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY
20K490,694,417,478,411,FORT HAMILTON HIGH SCHOOL
20K505,385,383,486,375,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL
20K609,s,s,s,s,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE
20K658,18,338,477,316,FRANKLIN DELANO ROOSEVELT YABC
21K337,54,326,386,314,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE
21K344,54,402,427,408,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES
21K348,39,388,398,378,HIGH SCHOOL OF SPORTS MANAGEMENT
21K410,475,396,437,393,ABRAHAM LINCOLN HIGH SCHOOL
21K412/21K411,s,s,s,s,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN
21K468,s,s,s,s,KINGSBOROUGH EARLY COLLEGE SCHOOL
21K525,727,468,496,467,EDWARD R. MURROW HIGH SCHOOL
21K540,448,404,468,390,JOHN DEWEY HIGH SCHOOL
21K559,40,384,375,365,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC
21K572,40,353,370,356,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS
21K620,95,394,414,376,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
21K690,119,429,449,435,BROOKLYN STUDIO SECONDARY SCHOOL
21K728,10,411,369,373,LIBERATION DIPLOMA PLUS
22K405,824,478,519,476,MIDWOOD HIGH SCHOOL
22K425,518,436,475,439,JAMES MADISON HIGH SCHOOL
22K495,236,383,392,370,SHEEPSHEAD BAY HIGH SCHOOL
22K535,259,524,561,542,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES
22K555,131,456,456,440,BROOKLYN COLLEGE ACADEMY
23K493,60,389,409,387,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL
23K514,55,361,371,359,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL
23K643,11,349,338,331,BROOKLYN DEMOCRACY ACADEMY
23K646,7,311,371,311,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL
23K647,17,350,346,332,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL
23K697,69,392,416,388,TEACHERS PREPARATORY HIGH SCHOOL
24Q264,89,405,454,421,ACADEMY OF FINANCE AND ENTERPRISE
24Q267,39,406,413,400,HIGH SCHOOL OF APPLIED COMMUNICATION
24Q293,69,404,429,407,CIVIC LEADERSHIP ACADEMY
24Q296,55,317,323,311,PAN AMERICAN INTERNATIONAL HIGH SCHOOL
24Q299,155,545,568,550,BARD HIGH SCHOOL EARLY COLLEGE II
24Q455,320,383,440,380,NEWTOWN HIGH SCHOOL
24Q457,s,s,s,s,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS
24Q485,241,395,420,396,GROVER CLEVELAND HIGH SCHOOL
24Q520,58,399,393,385,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE
24Q530,69,326,409,329,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE
24Q550,138,391,403,380,HIGH SCHOOL FOR ARTS AND BUSINESS
24Q560,80,443,447,440,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY"
24Q600,155,417,447,406,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL
24Q610,396,445,496,423,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL
24Q744,s,s,s,s,VOYAGES PREPARATORY
25Q252,58,455,498,443,"QUEENS SCHOOL OF INQUIRY, THE"
25Q263,45,314,417,318,FLUSHING INTERNATIONAL HIGH SCHOOL
25Q281,59,416,463,392,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES
25Q285,63,471,489,481,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL
25Q425,558,397,451,395,JOHN BOWNE HIGH SCHOOL
25Q460,347,393,441,382,FLUSHING HIGH SCHOOL
25Q467,9,378,373,344,FLUSHING YABC
25Q525,278,621,651,638,TOWNSEND HARRIS HIGH SCHOOL
25Q540,17,398,382,388,QUEENS ACADEMY HIGH SCHOOL
25Q670,99,431,458,441,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL
25Q792,7,379,421,377,NORTH QUEENS COMMUNITY HIGH SCHOOL
26Q415,888,480,545,489,BENJAMIN N. CARDOZO HIGH SCHOOL
26Q430,934,468,539,467,FRANCIS LEWIS HIGH SCHOOL
26Q435,334,391,397,384,MARTIN VAN BUREN HIGH SCHOOL
26Q495,708,462,523,464,BAYSIDE HIGH SCHOOL
26Q566,175,425,434,420,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES"
27Q260,87,387,385,373,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL
27Q262,74,432,419,401,CHANNEL VIEW SCHOOL FOR RESEARCH
27Q302,44,391,401,364,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY"
27Q308,93,423,426,416,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY
27Q309,36,367,379,348,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL
27Q323,89,499,537,496,SCHOLARS' ACADEMY
27Q400,101,377,371,360,AUGUST MARTIN HIGH SCHOOL
27Q410,78,384,396,354,BEACH CHANNEL HIGH SCHOOL
27Q475,404,382,404,368,RICHMOND HILL HIGH SCHOOL
27Q480,403,391,409,392,JOHN ADAMS HIGH SCHOOL
27Q650,194,429,491,425,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE"
28Q284,s,s,s,s,YORK EARLY COLLEGE ACADEMY
28Q310,68,420,445,400,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL
28Q325,s,s,s,s,HILLSIDE ARTS & LETTERS ACADEMY
28Q338,6,403,408,367,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY
28Q350,25,430,452,425,JAMAICA GATEWAY TO THE SCIENCES
28Q440,762,456,497,454,FOREST HILLS HIGH SCHOOL
28Q470,90,342,368,353,JAMAICA HIGH SCHOOL
28Q505,462,395,413,386,HILLCREST HIGH SCHOOL
28Q620,422,452,478,442,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
28Q680,99,513,523,502,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL
28Q686,s,s,s,s,QUEENS METROPOLITAN HIGH SCHOOL
28Q687,121,612,660,596,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE
28Q690,74,406,406,384,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY
28Q896,68,439,445,432,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS"
29Q248,52,360,380,359,QUEENS PREPARATORY ACADEMY
29Q259,46,401,397,375,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL
29Q265,49,402,398,402,EXCELSIOR PREPARATORY HIGH SCHOOL
29Q272,59,436,427,424,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES
29Q283,43,370,367,363,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL
29Q326,s,s,s,s,CAMBRIA HEIGHTS ACADEMY
29Q492,78,400,426,394,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL"
29Q494,52,385,377,377,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL"
29Q496,49,379,414,359,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL"
29Q498,62,393,381,377,HUMANITIES & ARTS MAGNET HIGH SCHOOL
30Q286,s,s,s,s,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA"
30Q301,98,410,440,405,ACADEMY FOR CAREERS IN TELEVISION AND FILM
30Q445,395,414,449,412,WILLIAM CULLEN BRYANT HIGH SCHOOL
30Q450,392,403,420,395,LONG ISLAND CITY HIGH SCHOOL
30Q501,174,504,496,494,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL
30Q502,148,407,434,398,INFORMATION TECHNOLOGY HIGH SCHOOL
30Q555,143,323,475,329,NEWCOMERS HIGH SCHOOL
30Q575,135,487,492,491,ACADEMY OF AMERICAN STUDIES
30Q580,61,524,568,544,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION
31R047,137,452,451,450,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES
31R064,61,398,412,385,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL
31R080,107,472,488,466,THE MICHAEL J. PETRIDES SCHOOL
31R440,391,424,437,416,NEW DORP HIGH SCHOOL
31R445,271,424,438,417,PORT RICHMOND HIGH SCHOOL
31R450,375,437,435,429,CURTIS HIGH SCHOOL
31R455,807,462,486,470,TOTTENVILLE HIGH SCHOOL
31R460,535,455,474,459,SUSAN E. WAGNER HIGH SCHOOL
31R470,10,466,455,414,CONCORD HIGH SCHOOL
31R600,94,416,422,397,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
31R605,227,635,682,636,STATEN ISLAND TECHNICAL HIGH SCHOOL
31R607,10,405,375,370,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS
32K403,50,380,366,352,ACADEMY FOR ENVIRONMENTAL LEADERSHIP
32K545,88,384,409,361,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK
32K549,75,348,353,334,BUSHWICK SCHOOL FOR SOCIAL JUSTICE
32K552,67,342,364,354,ACADEMY OF URBAN PLANNING
32K554,39,428,465,422,ALL CITY LEADERSHIP SECONDARY SCHOOL
32K556,23,347,358,350,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE
32K564,24,359,317,358,BUSHWICK COMMUNITY HIGH SCHOOL
75K371,s,s,s,s,P.S. 371 s LILLIAN L. RASHKIS
75M035,s,s,s,s,P.S. 035
75Q256,s,s,s,s,P.S. Q256
75Q811,32,429,444,433,P.S. Q811
75R025,s,s,s,s,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25
75X012,s,s,s,s,P.S. X012 LEWIS AND CLARK SCHOOL
75X754,s,s,s,s,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT
79M645,s,s,s,s,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION
79Q950,8,496,400,426,GED PLUS s CITYWIDE
79X490,9,367,370,360,PHOENIX ACADEMY
